experiment,filtration,model,mean_auroc,mean_average_precision
filtration_comparison,correlation_distance,ph_only,0.9700000000000001,0.9736544936544936
filtration_comparison,correlation_distance,baseline_plus_ph,0.9966666666666667,0.9969696969696971
filtration_comparison,correlation_distance,label_shuffle_null,0.5718560606060605,0.6775657551560544
filtration_comparison,hop_distance,ph_only,0.6066666666666666,0.7211406567288922
filtration_comparison,hop_distance,baseline_plus_ph,0.9933333333333333,0.9944444444444445
filtration_comparison,hop_distance,label_shuffle_null,0.5586868686868688,0.6113447536486752
filtration_comparison,weighted_shortest_path,ph_only,0.9733333333333333,0.9791245791245791
filtration_comparison,weighted_shortest_path,baseline_plus_ph,0.9733333333333333,0.9791125541125542
filtration_comparison,weighted_shortest_path,label_shuffle_null,0.3600589225589226,0.3879936096842486
