perturbation,ph_dim0_count,ph_dim0_finite_count,ph_dim0_mean_lifetime,ph_dim0_max_lifetime,ph_dim0_total_persistence,ph_dim1_count,ph_dim1_finite_count,ph_dim1_mean_lifetime,ph_dim1_max_lifetime,ph_dim1_total_persistence,ph_dim2_count,ph_dim2_finite_count,ph_dim2_mean_lifetime,ph_dim2_max_lifetime,ph_dim2_total_persistence,ph_dim1_landscape_l1,ph_dim1_landscape_max,num_nodes,num_edges,distance_matrix_mean,distance_matrix_std,cosine_to_original,sampled_nodes
original,250.0,249.0,0.7446372153398293,1.0,185.4146666196175,74.0,74.0,0.30059459644394954,0.6423333287239075,22.244000136852264,2.0,2.0,0.40049999952316284,0.4103333353996277,0.8009999990463257,98.94133584486346,0.4497012401215869,250.0,368.0,0.9916722026666668,0.0784368907850076,1.0,250
weight_jitter,249.0,248.0,0.7354625404602096,1.0,182.394710034132,83.0,83.0,0.26956372196415823,0.6293902099132538,22.37378892302513,3.0,3.0,0.23918636639912924,0.3667827248573303,0.7175590991973877,103.50164846724432,0.4406396885565211,250.0,368.0,0.9915786787854286,0.07883867861500354,0.9994690028540482,250
edge_subsample,250.0,249.0,0.7551954485434874,1.0,188.04366668732837,71.0,71.0,0.32937558855808957,0.6423333287239075,23.38566678762436,2.0,2.0,0.40049999952316284,0.4103333353996277,0.8009999990463257,97.32184790585453,0.4497012401215869,250.0,331.0,0.9921756266666668,0.07681815609278839,0.9999200060200152,250
node_subsample,249.0,248.0,0.7840403229478867,1.0,194.4420000910759,37.0,37.0,0.3491171171536317,0.710999995470047,12.917333334684372,1.0,1.0,0.33933335542678833,0.33933335542678833,0.33933335542678833,104.36501961086849,0.49777516655492565,250.0,309.0,0.9925683946666669,0.07542913886373777,0.9918223180407013,250
hub_removal,250.0,249.0,0.8621258376143783,1.0,214.6693335659802,7.0,7.0,0.30471427951540264,0.4503333568572998,2.1329999566078186,0.0,0.0,0.0,0.0,0.0,59.25060028734718,0.3152809608200971,250.0,88.0,0.9948126826666668,0.06782415104596211,0.9667686466028753,250
