protein,degree,strength,clustering,ego_nodes,ego_edges,local_density,complex_membership_count,protein_in_any_complex
IDO1,3,1.050333333333,0.0,4,3,0.5,0,0
IDO2,9,1.8193333333329997,0.0,10,9,0.2,0,0
IDS,41,8.226999999999702,0.006119892006280534,42,65,0.07549361207897794,0,0
IDUA,1,0.200333333333,0.0,2,1,1.0,0,0
IER2,29,11.418333333335,0.03293644352858445,30,62,0.1425287356321839,0,0
IER3,12,6.9319999999989985,0.11286858443140634,13,26,0.3333333333333333,0,0
IER3IP1,14,2.8096666666670003,0.003665859701751302,15,19,0.18095238095238095,0,0
IER5,7,4.055666666667,0.35394021854275015,8,20,0.7142857142857143,0,0
IFFO1,30,0.0,0.0,31,55,0.11827956989247312,0,0
IFFO2,4,0.0,0.0,5,4,0.4,0,0
IFI16,358,188.08800000001,0.020925251659512888,359,3051,0.04747825275050186,0,0
IFI27,1,0.694666666667,0.0,2,1,1.0,0,0
IFI30,40,13.604999999998997,0.0035926429936592725,41,48,0.05853658536585366,0,0
IFI35,7,4.746666666667,0.09396786472215221,8,10,0.35714285714285715,1,1
IFI44,1,0.042,0.0,2,1,1.0,0,0
IFI44L,2,0.770666666666,0.0,3,2,0.6666666666666666,0,0
IFI6,3,1.8880000000000001,0.19779239258056716,4,4,0.6666666666666666,0,0
IFIH1,19,10.985000000000003,0.048511888009833116,20,33,0.1736842105263158,0,0
IFIT1,49,23.801666666665,0.07571350471480952,50,206,0.16816326530612244,0,0
IFIT1B,6,1.7379999999983,0.028756793358524952,7,7,0.3333333333333333,0,0
IFIT2,47,24.289666666663,0.10480343109897595,48,241,0.21365248226950354,0,0
IFIT3,71,33.779999999994004,0.07102968775794526,72,404,0.15805946791862285,0,0
IFIT5,31,14.068666666667,0.08819393285577917,32,124,0.25,0,0
IFITM1,5,2.89,0.20096367327920928,6,8,0.5333333333333333,0,0
IFITM2,2,0.298,0.0,3,2,0.6666666666666666,0,0
IFITM3,8,3.042666666667,0.031817556629819055,9,14,0.3888888888888889,0,0
IFNA1,8,3.997666666667,0.14764985827728289,9,15,0.4166666666666667,0,0
IFNA10,3,0.6883333333330001,0.12631327062134248,4,4,0.6666666666666666,0,0
IFNA13,7,3.3373333333343,0.13145272729174257,8,11,0.39285714285714285,0,0
IFNA14,9,6.009666666667,0.25206902821697624,10,23,0.5111111111111111,0,0
